timestamp,src_ip,dst_port,decision
2025-06-26 12:46:17.145812,192.168.181.201,443,ALLOWED
2025-06-26 12:46:17.188163,192.168.181.201,443,ALLOWED
2025-06-26 12:46:17.219876,192.168.181.201,443,ALLOWED
2025-06-26 12:46:17.253364,192.168.181.201,443,ALLOWED
2025-06-26 12:46:17.280697,192.168.181.201,443,ALLOWED
2025-06-26 12:46:17.324107,192.168.181.201,443,ALLOWED
2025-06-26 12:46:17.363771,192.168.181.201,443,ALLOWED
2025-06-26 12:46:17.397370,192.168.181.201,443,ALLOWED
2025-06-26 12:46:17.426861,192.168.181.201,443,ALLOWED
2025-06-26 12:46:17.454946,192.168.181.201,443,ALLOWED
2025-06-26 12:46:17.490062,192.168.181.201,443,ALLOWED
2025-06-26 12:46:17.520150,192.168.181.201,443,ALLOWED
2025-06-26 12:46:17.547349,192.168.181.201,443,ALLOWED
2025-06-26 12:46:17.580551,20.42.65.85,59549,BLOCKED
2025-06-26 12:46:17.702799,20.42.65.85,59549,BLOCKED
2025-06-26 12:46:17.724643,20.42.65.85,59549,BLOCKED
2025-06-26 12:46:17.738782,20.42.65.85,59549,BLOCKED
2025-06-26 12:46:17.763203,20.42.65.85,59549,BLOCKED
2025-06-26 12:46:17.787621,20.42.65.85,59549,BLOCKED
2025-06-26 12:46:17.816304,20.42.65.85,59549,BLOCKED
2025-06-26 12:46:17.835377,192.168.181.201,443,ALLOWED
2025-06-26 12:46:19.200362,192.168.181.201,443,ALLOWED
2025-06-26 12:46:19.230680,192.168.181.201,443,ALLOWED
2025-06-26 12:46:19.257544,192.168.181.201,443,ALLOWED
2025-06-26 12:46:19.294790,192.168.181.201,443,ALLOWED
2025-06-26 12:46:19.330475,192.168.181.201,443,ALLOWED
2025-06-26 12:46:19.361853,192.168.181.201,443,ALLOWED
2025-06-26 12:46:19.397188,192.168.181.201,443,ALLOWED
2025-06-26 12:46:19.528414,20.42.65.85,59549,BLOCKED
2025-06-26 12:46:19.552580,20.42.65.85,59549,BLOCKED
2025-06-26 12:46:19.581363,20.42.65.85,59549,BLOCKED
2025-06-26 12:46:19.625696,20.42.65.85,59549,BLOCKED
2025-06-26 12:46:19.698083,192.168.181.201,443,ALLOWED
2025-07-01 14:04:55.065734,192.168.1.100,80,BLOCKED
2025-07-01 14:04:55.075155,8.8.8.8,9999,BLOCKED
2025-07-01 14:04:55.090800,8.8.8.8,443,ALLOWED
2025-07-01 14:23:05.826884,192.168.181.201,443,ALLOWED
2025-07-01 14:23:05.868049,192.168.181.201,443,ALLOWED
2025-07-01 14:23:05.876080,192.168.181.201,443,ALLOWED
2025-07-01 14:23:05.916219,192.168.181.201,443,ALLOWED
2025-07-01 14:23:06.187816,13.89.179.8,55118,BLOCKED
2025-07-01 14:23:06.218115,104.208.16.90,55125,BLOCKED
2025-07-01 14:23:06.241977,192.168.181.201,443,ALLOWED
2025-07-01 14:23:06.266452,192.168.181.201,443,ALLOWED
2025-07-01 14:23:06.296724,13.89.179.8,55118,BLOCKED
2025-07-01 14:23:06.751455,104.208.16.90,55125,BLOCKED
2025-07-01 14:23:06.774328,192.168.181.201,443,ALLOWED
2025-07-01 14:23:06.943214,13.89.179.8,55118,BLOCKED
2025-07-01 14:23:06.974285,192.168.181.201,443,ALLOWED
2025-07-01 14:23:07.161353,104.208.16.90,55125,BLOCKED
2025-07-01 14:23:07.189863,104.208.16.90,55125,BLOCKED
2025-07-01 14:23:07.208097,104.208.16.90,55125,BLOCKED
2025-07-01 14:23:07.230349,192.168.181.201,443,ALLOWED
2025-07-01 14:23:07.265945,104.208.16.90,55125,BLOCKED
2025-07-01 14:23:07.281336,192.168.181.201,443,ALLOWED
2025-07-01 14:23:07.297696,192.168.181.201,443,ALLOWED
2025-07-01 14:23:07.324673,192.168.181.201,443,ALLOWED
2025-07-01 14:23:07.346658,192.168.181.201,443,ALLOWED
2025-07-01 14:23:07.360704,192.168.181.201,443,ALLOWED
2025-07-01 14:23:07.375858,192.168.181.201,443,ALLOWED
2025-07-01 14:23:07.393845,13.89.179.8,55118,BLOCKED
2025-07-01 14:23:07.710702,104.208.16.90,55125,BLOCKED
2025-07-01 14:23:07.732169,104.208.16.90,55125,BLOCKED
2025-07-01 14:23:07.756597,104.208.16.90,55125,BLOCKED
2025-07-01 14:23:07.780823,104.208.16.90,55125,BLOCKED
2025-07-01 14:23:07.795824,104.208.16.90,55125,BLOCKED
2025-07-01 14:23:07.824415,192.168.181.201,443,ALLOWED
2025-07-01 14:23:07.839240,192.168.181.201,443,ALLOWED
2025-07-01 14:23:07.863976,192.168.181.201,443,ALLOWED
2025-07-01 14:23:08.045007,104.208.16.90,55125,BLOCKED
2025-07-01 14:23:08.045007,104.208.16.90,55125,BLOCKED
2025-07-01 14:23:08.079191,104.208.16.90,55125,BLOCKED
2025-07-01 14:23:08.993381,13.89.179.8,55119,BLOCKED
2025-07-01 14:23:12.826559,3.233.158.26,55123,BLOCKED
2025-07-01 14:23:12.992248,3.233.158.26,55124,BLOCKED
2025-07-01 14:23:22.071908,192.168.181.201,443,ALLOWED
2025-07-01 14:23:22.432463,13.89.179.8,55119,BLOCKED
2025-07-01 14:23:28.911185,3.233.158.26,55123,BLOCKED
2025-07-01 14:23:29.458596,3.233.158.26,55124,BLOCKED
2025-07-01 14:23:30.792856,192.168.181.201,443,ALLOWED
2025-07-01 14:23:30.826623,192.168.181.201,443,ALLOWED
2025-07-01 14:23:30.866165,192.168.181.201,443,ALLOWED
2025-07-01 14:23:30.891557,192.168.181.201,443,ALLOWED
2025-07-01 14:23:30.930221,192.168.181.201,443,ALLOWED
2025-07-01 14:23:30.947723,192.168.181.201,443,ALLOWED
2025-07-01 14:23:30.976067,192.168.181.201,443,ALLOWED
2025-07-01 14:23:31.000039,192.168.181.201,443,ALLOWED
2025-07-01 14:23:31.013590,192.168.181.201,443,ALLOWED
2025-07-01 14:23:31.044736,192.168.181.201,443,ALLOWED
2025-07-01 14:23:31.065432,192.168.181.201,443,ALLOWED
2025-07-01 14:23:31.087483,192.168.181.201,443,ALLOWED
2025-07-01 14:23:31.110782,192.168.181.201,443,ALLOWED
2025-07-01 14:23:31.132465,192.168.181.201,443,ALLOWED
2025-07-01 14:23:31.166359,192.168.181.201,443,ALLOWED
2025-07-01 14:23:31.187836,192.168.181.201,443,ALLOWED
2025-07-01 14:23:31.214959,192.168.181.201,443,ALLOWED
2025-07-01 14:23:31.238299,192.168.181.201,443,ALLOWED
2025-07-01 14:23:31.260709,13.89.179.8,55118,BLOCKED
2025-07-01 14:23:31.281849,13.89.179.8,55118,BLOCKED
2025-07-01 14:23:31.311063,13.89.179.8,55118,BLOCKED
2025-07-01 14:23:31.314207,13.89.179.8,55118,BLOCKED
2025-07-01 14:23:31.344952,13.89.179.8,55118,BLOCKED
2025-07-01 14:23:31.366059,13.89.179.8,55118,BLOCKED
2025-07-01 14:23:31.394511,13.89.179.8,55118,BLOCKED
2025-07-01 14:23:31.415022,13.89.179.8,55118,BLOCKED
2025-07-01 14:23:31.441028,192.168.181.201,443,ALLOWED
2025-07-01 14:23:31.465028,13.89.179.8,55118,BLOCKED
2025-07-01 14:23:31.482218,13.89.179.8,55118,BLOCKED
2025-07-01 14:23:31.492922,13.89.179.8,55118,BLOCKED
2025-07-01 14:23:31.510930,13.89.179.8,55118,BLOCKED
2025-07-01 14:23:31.532286,13.89.179.8,55118,BLOCKED
2025-07-01 14:23:31.557380,13.89.179.8,55118,BLOCKED
2025-07-01 14:23:31.576301,13.89.179.8,55118,BLOCKED
2025-07-01 14:23:31.598437,13.89.179.8,55118,BLOCKED
2025-07-01 14:23:31.611121,13.89.179.8,55118,BLOCKED
2025-07-01 14:23:31.632345,13.89.179.8,55118,BLOCKED
2025-07-01 14:23:31.716007,13.89.179.8,55118,BLOCKED
2025-07-01 14:23:31.733132,192.168.181.201,443,ALLOWED
2025-07-01 14:23:32.336963,13.89.179.8,55118,BLOCKED
2025-07-01 14:23:32.926743,192.168.181.201,443,ALLOWED
2025-07-01 14:23:32.956757,192.168.181.201,443,ALLOWED
2025-07-01 14:23:32.981473,192.168.181.201,443,ALLOWED
2025-07-01 14:23:33.007073,192.168.181.201,443,ALLOWED
2025-07-01 14:23:33.028302,192.168.181.201,443,ALLOWED
2025-07-01 14:23:33.040983,192.168.181.201,443,ALLOWED
2025-07-01 14:23:33.065184,192.168.181.201,443,ALLOWED
2025-07-01 14:23:33.090464,192.168.181.201,443,ALLOWED
2025-07-01 14:23:33.107489,192.168.181.201,443,ALLOWED
2025-07-01 14:23:33.140726,192.168.181.201,443,ALLOWED
2025-07-01 14:23:33.164350,192.168.181.201,443,ALLOWED
2025-07-01 14:23:33.188469,192.168.181.201,443,ALLOWED
2025-07-01 14:23:33.197085,192.168.181.201,443,ALLOWED
2025-07-01 14:23:33.226279,192.168.181.201,443,ALLOWED
2025-07-01 14:23:33.249312,192.168.181.201,443,ALLOWED
2025-07-01 14:23:33.257271,192.168.181.201,443,ALLOWED
2025-07-01 14:23:33.290783,192.168.181.201,443,ALLOWED
2025-07-01 14:23:33.307206,192.168.181.201,443,ALLOWED
2025-07-01 14:23:33.335795,13.89.179.8,55118,BLOCKED
2025-07-01 14:23:33.362656,13.89.179.8,55118,BLOCKED
2025-07-01 14:23:33.381305,13.89.179.8,55118,BLOCKED
2025-07-01 14:23:33.397456,13.89.179.8,55118,BLOCKED
2025-07-01 14:23:33.427516,13.89.179.8,55118,BLOCKED
2025-07-01 14:23:33.447732,13.89.179.8,55118,BLOCKED
2025-07-01 14:23:33.456517,13.89.179.8,55118,BLOCKED
2025-07-01 14:23:33.476246,13.89.179.8,55118,BLOCKED
